Tran #,Date,Card Type,Amount,Items,# of Items,Date_Only
17963049802,2024-01-04 15:27:00,Cash,2.0,0F06($2.00),1,2024-01-04
17963206739,2024-01-04 16:04:00,Visa (Apple Pay EMV),1.25,0A04($1.25),1,2024-01-04
17963258608,2024-01-04 16:17:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-04
17963314335,2024-01-04 16:32:00,Cash,1.5,0D05($1.50),1,2024-01-04
17963371076,2024-01-04 16:48:00,Visa (Apple Pay EMV),2.5,"0B02($1.25), 0B02($1.25)",2,2024-01-04
17963463125,2024-01-04 17:13:00,Visa (EMV Contactless),1.25,0B02($1.25),1,2024-01-04
17963465082,2024-01-04 17:13:00,Visa (EMV Contactless),2.75,"0B02($1.25), 0D06($1.50)",2,2024-01-04
17963617505,2024-01-04 18:01:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-01-04
17963631170,2024-01-04 18:05:00,Cash,1.5,0D05($1.50),1,2024-01-04
17963648749,2024-01-04 18:11:00,Visa (Swiped),1.5,0D07($1.50),1,2024-01-04
17963654643,2024-01-04 18:12:00,Visa (EMV Contactless),3.0,"0D06($1.50), 0D06($1.50)",2,2024-01-04
17963667141,2024-01-04 18:17:00,Visa (Apple Pay EMV),1.25,0C04($1.25),1,2024-01-04
17963938434,2024-01-04 20:03:00,Visa (Apple Pay EMV),1.25,0A04($1.25),1,2024-01-04
17964000897,2024-01-04 20:32:00,Cash,1.0,0B06($1.00),1,2024-01-04
17964006898,2024-01-04 20:36:00,Cash,1.5,0E00($1.50),1,2024-01-04
17964017354,2024-01-04 20:41:00,Cash,1.25,0A02($1.25),1,2024-01-04
17964099032,2024-01-04 21:24:00,Visa (Apple Pay EMV),1.25,0C04($1.25),1,2024-01-04
17964118315,2024-01-04 21:35:00,Visa (Apple Pay EMV),1.25,0C04($1.25),1,2024-01-04
17967388635,2024-01-05 12:33:00,Visa (EMV Contactless),1.0,0B06($1.00),1,2024-01-05
17968058596,2024-01-05 14:45:00,Visa (Apple Pay EMV),1.25,0A04($1.25),1,2024-01-05
17968173394,2024-01-05 15:11:00,Visa (EMV Contactless),1.5,0D04($1.50),1,2024-01-05
17968176213,2024-01-05 15:12:00,Visa (EMV Contactless),4.25,"0E00($1.50), 0E01($1.50), 0A04($1.25)",3,2024-01-05
17968334550,2024-01-05 15:52:00,Cash,2.0,0F06($2.00),1,2024-01-05
17968483990,2024-01-05 16:30:00,Cash,1.25,0A04($1.25),1,2024-01-05
17968554037,2024-01-05 16:50:00,Cash,2.0,0E05($2.00),1,2024-01-05
17968554619,2024-01-05 16:50:00,Cash,2.0,0E05($2.00),1,2024-01-05
17968639832,2024-01-05 17:14:00,Visa (EMV Contactless),1.25,0B02($1.25),1,2024-01-05
17968804471,2024-01-05 18:05:00,Visa (EMV Contactless),1.5,0D07($1.50),1,2024-01-05
17968807993,2024-01-05 18:06:00,Visa (EMV Contactless),1.5,0D05($1.50),1,2024-01-05
17968821255,2024-01-05 18:11:00,Cash,1.5,0D06($1.50),1,2024-01-05
