Tran #,Date,Card Type,Amount,Items,# of Items,Date_Only
17953177547,2024-01-02 17:57:00,Visa (Apple Pay EMV),1.0,002E($1.00),1.0,2024-01-02
17953203670,2024-01-02 18:06:00,MasterCard (Swiped),4.0,"0018($2.00), 0018($2.00)",2.0,2024-01-02
17953206172,2024-01-02 18:07:00,MasterCard (Swiped),6.0,"0018($2.00), 0019($2.00), 0019($2.00)",3.0,2024-01-02
17953225465,2024-01-02 18:13:00,Visa (Apple Pay EMV),3.0,0016($3.00),1.0,2024-01-02
17953288905,2024-01-02 18:38:00,Cash,1.0,002C($1.00),1.0,2024-01-02
17953292726,2024-01-02 18:39:00,Cash,2.0,0021($2.00),1.0,2024-01-02
17953621762,2024-01-02 21:15:00,MasterCard (EMV Contactless),2.0,0021($2.00),1.0,2024-01-02
17953713880,2024-01-02 22:13:00,Cash,2.0,0018($2.00),1.0,2024-01-02
17953729247,2024-01-02 22:24:00,MasterCard (Swiped),2.0,001C($2.00),1.0,2024-01-02
17957794932,2024-01-03 15:41:00,Cash,1.0,0028($1.00),1.0,2024-01-03
17958159398,2024-01-03 17:17:00,MasterCard (Swiped),3.0,0014($3.00),1.0,2024-01-03
17958507227,2024-01-03 19:18:00,Visa (Apple Pay EMV),4.0,0011($4.00),1.0,2024-01-03
17958599386,2024-01-03 19:58:00,Visa (EMV Contactless),6.0,"0018($2.00), 0018($2.00), 0018($2.00)",3.0,2024-01-03
17958601987,2024-01-03 19:59:00,Visa (EMV Contactless),6.0,"001B($2.00), 001B($2.00), 001B($2.00)",3.0,2024-01-03
17958604028,2024-01-03 20:00:00,Visa (EMV Contactless),6.0,"0019($2.00), 0019($2.00), 0019($2.00)",3.0,2024-01-03
17958607384,2024-01-03 20:01:00,Visa (EMV Contactless),2.0,001A($2.00),1.0,2024-01-03
17958615844,2024-01-03 20:02:00,Visa (EMV Contactless),3.0,0014($3.00),1.0,2024-01-03
17958615957,2024-01-03 20:04:00,Cash,4.0,0005($4.00),1.0,2024-01-03
17958660444,2024-01-03 20:27:00,Visa (EMV Contactless),4.0,"0019($2.00), 0019($2.00)",2.0,2024-01-03
17958724120,2024-01-03 21:00:00,Cash,2.0,001B($2.00),1.0,2024-01-03
17963053765,2024-01-04 15:28:00,Cash,2.0,0024($2.00),1.0,2024-01-04
